iter	Passed	Remaining
680	30738	14398
681	30784	14354
682	30829	14308
683	30867	14260
684	30905	14212
685	30943	14163
686	30983	14116
687	31028	14071
688	31073	14026
689	31117	13980
690	31164	13935
691	31210	13891
692	31257	13847
693	31304	13802
694	31349	13757
695	31392	13711
696	31436	13665
697	31481	13620
698	31531	13577
699	31578	13533
700	31631	13491
701	31676	13446
702	31721	13401
703	31766	13356
704	31811	13311
705	31856	13266
706	31900	13220
707	31945	13175
708	31991	13130
709	32037	13085
710	32082	13040
711	32127	12995
712	32172	12950
713	32217	12905
714	32261	12859
715	32305	12814
716	32350	12768
717	32395	12723
718	32438	12677
719	32482	12632
720	32527	12586
721	32575	12542
722	32623	12498
723	32669	12453
724	32716	12409
725	32761	12364
726	32808	12320
727	32852	12274
728	32896	12228
729	32940	12183
730	32985	12138
731	33022	12090
732	33059	12042
733	33096	11994
734	33135	11946
735	33175	11899
736	33221	11855
737	33266	11810
738	33314	11766
739	33365	11723
740	33417	11680
741	33469	11637
742	33521	11594
743	33575	11552
744	33624	11509
745	33675	11465
746	33726	11422
747	33777	11379
748	33827	11335
749	33879	11293
750	33932	11250
751	33984	11207
752	34035	11164
753	34087	11121
754	34138	11078
755	34191	11035
756	34242	10992
757	34290	10947
758	34334	10902
759	34378	10856
760	34422	10810
761	34467	10765
762	34512	10719
763	34556	10674
764	34601	10629
765	34648	10584
766	34700	10541
767	34744	10495
768	34789	10450
769	34834	10405
770	34881	10360
771	34926	10315
772	34970	10269
773	35016	10224
774	35061	10179
775	35107	10134
776	35152	10088
777	35174	10036
778	35212	9989
779	35252	9942
780	35289	9895
781	35333	9849
782	35378	9804
783	35423	9759
784	35468	9714
785	35514	9669
786	35559	9624
787	35606	9579
788	35652	9534
789	35698	9489
790	35745	9444
791	35790	9399
792	35835	9354
793	35885	9310
794	35929	9264
795	35975	9219
796	36023	9175
797	36069	9130
798	36116	9085
799	36165	9041
800	36212	8996
801	36257	8951
802	36303	8906
803	36348	8861
804	36393	8815
805	36437	8770
806	36482	8725
807	36527	8679
808	36572	8634
809	36617	8589
810	36662	8544
811	36707	8498
812	36760	8455
813	36803	8409
814	36848	8364
815	36894	8319
816	36938	8273
817	36983	8228
818	37027	8183
819	37072	8137
820	37117	8092
821	37162	8047
822	37207	8002
823	37254	7957
824	37298	7911
825	37336	7865
826	37373	7818
827	37411	7771
828	37449	7724
829	37493	7679
830	37539	7634
831	37584	7589
832	37628	7543
833	37674	7498
834	37719	7453
835	37765	7408
836	37810	7363
837	37856	7318
838	37900	7273
839	37946	7227
840	37990	7182
841	38034	7137
842	38080	7092
843	38125	7046
844	38170	7001
845	38216	6956
846	38260	6911
847	38305	6865
848	38349	6820
849	38395	6775
850	38439	6730
851	38484	6685
852	38529	6639
853	38576	6595
854	38622	6550
855	38669	6505
856	38712	6459
857	38757	6414
858	38802	6369
859	38848	6324
860	38900	6280
861	38944	6234
862	38990	6189
863	39037	6144
864	39082	6099
865	39129	6054
866	39174	6009
867	39220	5964
868	39266	5919
869	39313	5874
870	39358	5829
871	39402	5783
872	39446	5738
873	39485	5692
874	39522	5646
875	39559	5599
876	39600	5554
877	39646	5508
878	39694	5464
879	39741	5419
880	39786	5374
881	39833	5329
882	39880	5284
883	39926	5239
884	39973	5194
885	40018	5149
886	40063	5103
887	40111	5059
888	40158	5014
889	40204	4969
890	40251	4924
891	40296	4878
892	40341	4833
893	40384	4788
894	40428	4743
895	40473	4697
896	40519	4652
897	40563	4607
898	40610	4562
899	40655	4517
900	40700	4472
901	40744	4426
902	40789	4381
903	40834	4336
904	40877	4291
905	40924	4246
906	40971	4201
907	41022	4156
908	41065	4111
909	41113	4066
910	41158	4021
911	41203	3975
912	41250	3930
913	41296	3885
914	41342	3840
915	41387	3795
916	41432	3750
917	41477	3704
918	41523	3659
919	41569	3614
920	41612	3569
921	41649	3523
922	41688	3477
923	41725	3431
924	41765	3386
925	41810	3341
926	41854	3296
927	41899	3250
928	41943	3205
929	41988	3160
930	42033	3115
931	42077	3070
932	42124	3025
933	42169	2979
934	42214	2934
935	42259	2889
936	42319	2845
937	42365	2800
938	42409	2755
939	42453	2709
940	42497	2664
941	42541	2619
942	42586	2574
943	42632	2529
944	42676	2483
945	42720	2438
946	42765	2393
947	42811	2348
948	42856	2303
949	42902	2258
950	42948	2212
951	42993	2167
952	43038	2122
953	43086	2077
954	43136	2032
955	43178	1987
956	43225	1942
957	43271	1897
958	43316	1851
959	43362	1806
960	43406	1761
961	43450	1716
962	43494	1671
963	43538	1625
964	43584	1580
965	43629	1535
966	43675	1490
967	43719	1445
968	43762	1400
969	43800	1354
970	43838	1309
971	43876	1263
972	43916	1218
973	43960	1173
974	44006	1128
975	44050	1083
976	44095	1038
977	44141	992
978	44186	947
979	44231	902
980	44277	857
981	44322	812
982	44367	767
983	44413	722
984	44464	677
985	44509	631
986	44555	586
987	44601	541
988	44646	496
989	44691	451
990	44735	406
991	44781	361
992	44826	315
993	44870	270
994	44915	225
995	44960	180
996	45005	135
997	45049	90
998	45095	45
999	45139	0
